sequence,x,y,z,force,target_force,deviation_abs,deviation_pct,tolerance_abs_limit,tolerance_pct_limit,within_tolerance_abs,within_tolerance_pct,within_tolerance,移动平均,移动标准差,Q1,Q3,IQR,is_outlier,z_score,is_z_outlier,cluster
1,97.2,96.4,111,3.6,5,-1.4,-27.999999999999996,2,0.25,TRUE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,0.47985034567181295,FALSE,1
2,98.8,101.3,106.6,23.5,25,-1.5,-6,2,1.25,TRUE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.655660792892805,FALSE,2
3,107.8,98.8,98.7,48.1,50,-1.8999999999999986,-3.799999999999997,2,2.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,1.1251564086951924,FALSE,3
4,100.4,98.3,102.7,2.9,5,-2.1,-42.00000000000001,2,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,0.8006491722726317,FALSE,3
5,100.6,95.2,97.9,24.1,25,-0.8999999999999986,-3.5999999999999943,2,1.25,TRUE,TRUE,TRUE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.37527021623454204,FALSE,3
6,108.6,99.8,97.6,50.7,50,0.7000000000000028,1.4000000000000057,2,2.5,TRUE,TRUE,TRUE,NA,NA,49.3,51.5,2.200000000000003,FALSE,0.24030921883023384,FALSE,3
7,102.3,96.1,96.1,1,5,-4,-80,2,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,1.6713888444748537,FALSE,3
8,93.7,91.7,97,25.4,25,0.3999999999999986,1.5999999999999945,2,1.25,TRUE,TRUE,TRUE,NA,NA,23.8,26.4,2.599999999999998,FALSE,0.2322426998583583,FALSE,1
9,96.6,98.1,108.3,52.5,50,2.5,5,2,2.5,FALSE,TRUE,FALSE,NA,NA,49.3,51.5,2.200000000000003,FALSE,1.1856315763478347,FALSE,1
10,97.8,104.6,99.7,9.1,5,4.1,82,2,0.25,FALSE,FALSE,FALSE,NA,NA,3.2250000000000005,6.225,2.999999999999999,FALSE,2.0407118633346193,FALSE,4
11,106.1,97.1,100.6,27.6,25,2.6000000000000014,10.400000000000006,2,1.25,FALSE,FALSE,FALSE,NA,NA,23.8,26.4,2.599999999999998,FALSE,1.2603414809386548,FALSE,2
